atmosphere,city,cleanliness,country,facilities,location,name,rating,rating_cat,reviews,security,staff,value_for_money
,Hue,,Vietnam,,,Holiday Diamond Hotel,,No Rating,31,,,
7.0,Hue,9.0,Vietnam,5.0,10.0,Beach Bar Hue,8.1,Fabulous,91,9.0,9.0,8.0
10.0,Hue,10.0,Vietnam,10.0,10.0,Family Home Hue,10.0,Superb,1,10.0,10.0,10.0
10.0,Hue,8.0,Vietnam,8.0,8.0,FA Backpackers Hostel,9.1,Superb,308,10.0,10.0,10.0
8.5,Hue,9.5,Vietnam,9.0,9.5,Amy Hostel Hue,9.1,Superb,4,10.0,8.5,8.5
,Hue,,Vietnam,,,The HillSide House Tuong Van Hue,,No Rating,4,,,
,Hue,,Vietnam,,,Anan's House,,No Rating,0,,,
7.0,Hue,8.0,Vietnam,8.0,6.0,An Homestay,7.4,Very Good,5,9.0,7.0,7.0
,Hue,,Vietnam,,,Spring Garden Villa,,No Rating,0,,,
,Hue,,Vietnam,,,Beaulieu Boutique Hotel,,,0,,,
5.0,Hue,7.0,Vietnam,8.0,9.0,HongThien 1 Hotel,7.1,Very Good,203,8.0,6.0,7.0
8.0,Hue,8.0,Vietnam,4.0,4.0,Jamming The Hostel,6.0,Good,2,6.0,6.0,6.0
,Hue,,Vietnam,,,Sun and Sea Resort Hue,,No Rating,0,,,
10.0,Hue,10.0,Vietnam,10.0,10.0,Homeland Hotel Hue,10.0,Superb,1,10.0,10.0,10.0
8.0,Hue,10.0,Vietnam,10.0,10.0,Canary Boutique Hotel,9.7,Superb,14,10.0,10.0,10.0
,Hue,,Vietnam,,,Binh Duong 2 Hotel,,No Rating,11,,,
6.0,Hue,10.0,Vietnam,8.0,10.0,Sunny B Hotel,9.1,Superb,13,10.0,10.0,10.0
7.0,Hue,9.5,Vietnam,8.5,9.5,Kha Hotel,8.7,Fabulous,11,7.5,9.5,9.5
,Hue,,Vietnam,,,Thanh An Homestay,,No Rating,0,,,
,Hue,,Vietnam,,,Share Dorm Hostel,,No Rating,118,,,
,Hue,,Vietnam,,,Tran Ly Hotel,,No Rating,585,,,
,Hue,,Vietnam,,,Casablanca Boutique Hotel,,No Rating,67,,,
6.0,Hue,8.0,Vietnam,8.0,10.0,MaiLy Hostel,8.0,Fabulous,48,6.0,8.0,10.0
