atmosphere,city,cleanliness,country,facilities,location,name,rating,rating_cat,reviews,security,staff,value_for_money
10.0,Hanoi,10.0,Vietnam,10.0,10.0,Friends Inn & Travel,10.0,Superb,533,10.0,10.0,10.0
4.0,Hanoi,4.0,Vietnam,4.0,8.0,The Art Classic Hotel & Spa,5.1,Rating,4,8.0,4.0,4.0
,Hanoi,,Vietnam,,,Pavilion Hotel and Travel,,No Rating,45,,,
7.0,Hanoi,7.0,Vietnam,7.0,10.0,Golden Time Hostel,7.7,Very Good,342,8.0,8.0,7.0
7.5,Hanoi,6.0,Vietnam,7.5,9.5,Hanoi Golden Hostel,7.9,Very Good,37,8.5,9.5,7.0
8.0,Hanoi,10.0,Vietnam,10.0,10.0,Hanoi Genial Hotel,9.4,Superb,3,8.0,10.0,10.0
8.7,Hanoi,10.0,Vietnam,8.0,10.0,BC Family Homestay - Hoan Kiem Lakeside,9.0,Superb,79,9.3,8.7,8.7
6.0,Hanoi,6.0,Vietnam,6.0,8.0,AZ Hanoi Hostel,6.6,Good,8,8.0,6.0,6.0
8.5,Hanoi,10.0,Vietnam,10.0,9.0,The Eighty8 Hanoi,9.6,Superb,4,10.0,10.0,9.5
,Hanoi,,Vietnam,,,Hanoi Aria Central Hotel & Spa,8.6,Fabulous,1,,,
3.0,Hanoi,6.0,Vietnam,7.0,6.0,Diamond Legend Hotel,6.0,Good,53,7.0,6.0,7.0
5.0,Hanoi,5.0,Vietnam,5.0,5.0,Hanoi Pho Hotel,6.6,Good,105,8.0,10.0,8.0
7.7,Hanoi,8.1,Vietnam,8.3,9.1,Hanoi Amazing Hostel,8.4,Fabulous,219,8.6,8.7,8.5
9.0,Hanoi,8.6,Vietnam,8.7,9.6,Hanoi Central Backpackers Hostel,9.1,Superb,4404,9.3,9.1,9.2
8.6,Bangkok,9.6,Thailand,9.3,8.0,The Companion Hostel,9.1,Superb,123,9.3,9.1,9.6
7.5,Bangkok,8.7,Thailand,8.5,8.4,MovyLodge Hostel,8.4,Fabulous,73,9.1,8.2,8.5
8.5,Bangkok,9.3,Thailand,9.0,8.8,Everyday Bangkok Hostel,9.1,Superb,1445,9.2,9.4,9.2
9.2,Bangkok,9.7,Thailand,9.5,8.4,Kloem Hostel,9.4,Superb,120,9.7,9.6,9.4
8.9,Bangkok,9.4,Thailand,8.9,9.1,U-Baan Guesthouse,9.3,Superb,1366,9.3,9.9,9.5
9.0,Bangkok,8.5,Thailand,8.1,9.5,The Oasis Hostel,8.9,Fabulous,586,8.5,9.5,9.3
9.7,Bangkok,9.6,Thailand,9.6,8.9,The Yard Hostel Bangkok,9.5,Superb,1286,9.7,9.7,9.3
8.9,Bangkok,9.3,Thailand,9.1,8.9,Luk Hostel,9.1,Superb,387,9.3,9.4,9.2
9.1,Bangkok,9.4,Thailand,9.3,9.7,BED STATION Hostel Khaosan,9.3,Superb,1084,9.5,8.9,9.1
9.3,Bangkok,9.0,Thailand,8.9,9.5,Mad Monkey Bangkok,9.1,Superb,3768,9.1,9.1,8.9
9.3,Bangkok,9.6,Thailand,9.3,9.7,Jam Hostel Bangkok,9.6,Superb,816,9.8,9.7,9.4
8.7,Bangkok,9.7,Thailand,8.7,9.7,Hom Hostel & Cooking Club,9.4,Superb,186,9.7,10.0,9.3
8.4,Bangkok,9.7,Thailand,9.4,8.8,AMA Hostel Bangkok,9.3,Superb,226,9.8,9.4,9.4
8.7,Bangkok,9.3,Thailand,8.9,7.2,Nivas Siam Hostel,8.7,Fabulous,279,8.5,9.3,9.2
9.3,Bangkok,9.0,Thailand,8.9,8.9,Bodega Bangkok Social Hostel,9.2,Superb,4131,9.2,9.4,9.4
8.9,Bangkok,9.9,Thailand,9.6,9.2,Kinnon Deluxe Hostel Coworking Cafe,9.6,Superb,120,9.8,9.9,9.6
9.7,Bangkok,9.9,Thailand,9.8,9.6,HOLY SHEET Hostel,9.8,Superb,475,9.8,9.9,9.7
8.5,Bangkok,9.4,Thailand,8.9,9.3,Niras Bankoc Cultural Hostel,9.1,Superb,3150,9.5,9.2,9.1
9.0,Bangkok,9.2,Thailand,9.1,9.4,Once Again Hostel,9.3,Superb,2810,9.5,9.5,9.2
9.1,Bangkok,8.9,Thailand,8.9,9.1,All We Need Is Hostel,9.1,Superb,479,9.3,9.4,9.2
8.6,Bangkok,9.3,Thailand,8.7,9.6,NapPark Hostel at Khao San,9.1,Superb,6479,9.3,8.9,9.0
9.0,Bangkok,9.7,Thailand,9.4,9.6,Smile Society,9.6,Superb,2691,9.8,9.9,9.8
8.0,Bangkok,9.6,Thailand,9.0,7.2,Yaks House Hostel,8.7,Fabulous,138,9.3,9.0,9.0
8.5,Bangkok,9.7,Thailand,9.3,9.7,Baan Nampetch Hostel,9.4,Superb,736,9.9,9.7,9.3
8.6,Bangkok,9.0,Thailand,9.1,9.1,Here Hostel,8.9,Fabulous,1616,9.2,8.4,8.7
7.3,Bangkok,8.7,Thailand,8.4,9.0,Lub d Bangkok Siam,8.6,Fabulous,2735,9.2,8.9,8.3
7.8,Bangkok,8.2,Thailand,8.7,8.7,3Howw Hostel Khaosan,8.5,Fabulous,470,8.8,8.2,9.5
9.3,Bangkok,9.0,Thailand,9.1,9.7,Bodega Khao San Party Hostel,9.3,Superb,307,9.1,9.3,9.4
8.4,Bangkok,9.8,Thailand,9.5,9.1,BED STATION Hostel Ratchthewi,9.3,Superb,4133,9.6,9.2,9.2
7.8,Bangkok,9.6,Thailand,8.6,9.2,D Hostel Bangkok,8.8,Fabulous,1257,9.0,8.5,9.0
8.5,Bangkok,9.7,Thailand,9.7,8.7,Rest Is More Hostel,9.4,Superb,65,9.8,9.6,9.7
8.8,Bangkok,9.2,Thailand,8.7,9.4,Everyday Bangkok Hostel@Khaosan,9.1,Superb,1336,9.3,9.3,9.0
8.4,Bangkok,8.8,Thailand,9.2,9.0,ASA Hostel,9.0,Superb,53,9.6,9.0,9.2
9.5,Bangkok,9.5,Thailand,8.0,8.5,Local Time Bangkok,9.2,Superb,27,9.5,10.0,9.5
9.1,Bangkok,10.0,Thailand,9.4,9.9,Siam Eco Hostel,9.6,Superb,39,9.5,9.9,9.5
8.7,Bangkok,8.9,Thailand,8.6,9.8,Suneta Hostel Khaosan,9.2,Superb,1835,9.8,9.7,9.1
8.0,Bangkok,10.0,Thailand,8.5,9.5,Vivit Hostel Bangkok,9.1,Superb,219,9.5,8.5,9.5
9.1,Bangkok,8.9,Thailand,8.3,10.0,Sleepyhead Hostel,9.3,Superb,15,9.4,10.0,9.1
8.4,Bangkok,8.8,Thailand,8.0,8.7,Revolution Hostel Asoke,8.7,Fabulous,170,8.9,8.7,9.3
