atmosphere,city,cleanliness,country,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,staff,value_for_money
7.9,Hue,8.8,Vietnam,1.4,8.6,Hostel,9.8,Bon Ami Hostel,US$5.00,9.0,Superb,179,9.3,9.6,9.2
,Hue,,Vietnam,2.2,,Bed and Breakfast,,La Luz Del Sol Homestay,US$5.89,,No Rating,0,,,
2.0,Hue,6.0,Vietnam,1.1,2.0,Hostel,6.0,Baloo Hostel,US$4.75,3.4,Rating,3,4.0,2.0,2.0
9.4,Hue,9.6,Vietnam,5.6,9.7,Hostel,8.3,Nano Eco Hostel,US$7.71,9.4,Superb,34,9.8,9.5,9.5
7.4,Hue,8.9,Vietnam,1.1,7.4,Hostel,9.1,Buncha House,US$4.00,8.5,Fabulous,204,8.5,9.8,8.8
8.2,Hue,9.2,Vietnam,0.9,8.9,Hotel,9.2,Sunny A Hotel,US$6.00,9.1,Superb,191,9.4,9.4,9.2
8.4,Hue,9.5,Vietnam,1.5,9.0,Hostel,9.8,Shark Hostel,US$3.50,9.3,Superb,141,9.3,9.8,9.6
8.6,Hue,9.2,Vietnam,1.2,8.9,Hostel,9.8,Why Not Hostel,US$5.33,9.2,Superb,1067,8.9,9.7,9.5
10.0,Hue,10.0,Vietnam,0.6,10.0,Bed and Breakfast,10.0,Hue Diep's Homestay,US$8.00,10.0,Superb,2,10.0,10.0,10.0
9.3,Hue,8.3,Vietnam,1.9,8.8,Bed and Breakfast,9.3,Kims Homestay,US$3.00,9.0,Superb,57,9.3,9.3,9.0
8.7,Hue,10.0,Vietnam,1.1,10.0,Hostel,9.3,Hue Amy Homestay,US$6.15,9.6,Superb,51,9.3,10.0,10.0
8.1,Hue,9.3,Vietnam,2.6,9.6,Hostel,7.4,Forever Young Hostel,US$6.00,9.0,Superb,116,9.6,9.7,9.5
8.5,Hue,9.7,Vietnam,1.8,8.3,Hotel,8.9,Charming Riverside Hotel,US$7.50,9.1,Superb,285,9.4,9.7,9.4
8.8,Hue,9.6,Vietnam,2.5,9.6,Hostel,8.4,Sahi Homestay Retreat,US$16.27,9.0,Superb,5,8.8,8.8,9.2
8.8,Hue,9.4,Vietnam,1.4,9.0,Hostel,9.9,Hue Happy Homestay,US$4.50,9.4,Superb,1985,9.5,9.7,9.6
8.4,Hue,9.3,Vietnam,1.4,8.2,Hostel,9.3,IBIZA Guest House,US$4.00,9.1,Superb,356,9.3,9.5,9.3
8.3,Hue,8.8,Vietnam,1.5,8.4,Hostel,9.8,Amy 2 Hostel Hue,US$3.64,9.1,Superb,271,9.3,9.8,9.6
8.6,Hue,8.3,Vietnam,1.4,8.6,Hostel,9.5,New Life Homestay,US$5.78,9.0,Superb,334,8.9,9.8,9.3
7.9,Hue,8.7,Vietnam,1.4,8.5,Hostel,9.6,The Dreamers,US$4.75,8.9,Fabulous,464,9.0,9.4,9.2
8.5,Hue,7.6,Vietnam,1.2,7.6,Hostel,9.3,Hue Vietnam Backpacker Hostels,US$6.17,8.3,Fabulous,2044,8.5,8.7,8.3
8.8,Hue,9.7,Vietnam,1.7,9.2,Hostel,9.2,The Dreamers House,US$4.50,9.4,Superb,33,9.5,9.9,9.6
8.1,Hue,8.3,Vietnam,1.3,8.1,Hostel,9.7,Hue Melody Hostel,US$3.00,8.9,Fabulous,207,9.1,9.6,9.3
8.2,Hue,9.2,Vietnam,1.6,8.8,Hostel,9.5,Khe Sanh Homestay,US$3.76,9.1,Superb,918,9.3,9.5,9.4
9.7,Hue,9.6,Vietnam,1.5,9.6,Bed and Breakfast,9.5,Loving Home Hue,US$6.50,9.7,Superb,46,9.8,10.0,9.9
8.3,Hanoi,9.1,Vietnam,0.4,8.9,Hostel,9.5,Backy Poshtel,US$5.57,9.1,Superb,135,9.4,9.2,9.4
8.1,Hanoi,9.3,Vietnam,0.9,8.9,Hostel,9.7,Hanoi Old Quarter Hostel,US$9.12,9.3,Superb,513,9.6,9.9,9.4
