atmosphere,city,cleanliness,country,description,distance,facilities,kind,location,name,price,rating,rating_cat,reviews,security,services,staff,value_for_money
,Ubud,,Indonesia,"Amel Homestay Hostel is a really cool, cozy and affordable hostel with private rooms right in the center of Ubud. Its strongest point is location. The hostel is situated in the real center of Ubud. Best of all, taxi and public transport are not necessary to reach any of the major historical sites or tourist attractions, such as Ubud main street or Monkey Forest. Also it is easy to walk to shuttle point. Designed with Balinese Traditional House style, the totally furnished rooms , accommodating a total of 15 guests. Each room is 4 meters high, so there is an extra floor for your comfort. Internet is accessible in all flats. All different kind of beds ( double, singles and bunk beds) make your staying comfortable. Each room has it own toilet and bathroom to feel at home. The staff is ready at any time of a day 0-24 to help you out with any question you have and try to make our life easier, safer and happier in your time you in this great Ubud. ***Property Policies*** Cancellation policy: 3 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 12:00 noon. Check out before 11:00 am. Payment upon arrival by cash. Taxes included. Breakfast included. No curfew. No smoking in the room, but have a smoking area. The maximum period of stay is of 14 days.  View House Rules  ",2,,Hostel,,Amel Homestay,US$4.96,,No Rating,0,,"Free Breakfast, Free Internet Access, Air Conditioning, Ceiling Fan, Hot Showers, Security Lockers, 24 Hour Reception, 24 Hour Security, Internet Access, Towels for hire, Tea & Coffee Making Facilities, Wi-Fi",,
6.0,Ubud,2.0,Indonesia,"Formerly known as Sunny Blow Villa Jepun, Royal Villa Jepun has reinvented itself and upgrade All Spaces Non-Smoking (public and private)d many of its services and facilities to cater to its guests. Come and stay with us - Be a part of supreme, serene, and sacred experiences. Our rooms provide the perfect combination and balance of modern amenities with traditional Balinese architecture. Our standard rooms are furnished to superior quality along with our most luxurious rooms which offer additional space and privacy. Royal Villa Jepun has a highly trained team of friendly, welcoming staff who are always willing to go the extra mile, ensuring that you have a relaxing, entertaining, and memorable stay here in Bali. Each room is served with free minteral water and in the afternoon you may enjoy our free afternoon tea or coffee. Enjoy your stay in Bali with us!  View House Rules  ",1.5,2.0,Apartment,2.0,Royal Villa Jepun,US$16.52,3.4,Rating,7,4.0,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Hot Showers, Hot Tub, Outdoor Swimming Pool, Outdoor Terrace, Parking, Swimming Pool, 24 Hour Reception, 24 Hour Security, Internet Access, Restaurant",6.0,2.0
8.3,Ubud,6.7,Indonesia,"You'll find us in the middle of Bali's traditional district, UBUD. Our hostel is directly in Ubud, and so is an ideal starting point for shopping and sightseeing excursions. What makes Ubud so beloved is its unique atmosphere generated by the Balinese cultural buildings, Monkey Forest, bars & cafes, restaurants and shops around the hostel. We have 2 spacious private rooms, and 3 dorm rooms with 4 beds each. Private rooms fully equipped with AC and fan, dorms are fully equipped with A/C or fan, en suite bathroom with hot and cold water system. Our building design with Balinese style. Each rooms with terrace and sitting area.  Each beds in dorm provided curtains and reading light, so you will have your privacy when you stay in our dorm. Our front desk team can provide safe and reliable information on tours arrangements and is able to arrange tours to any destination, using any type of transportation. A dedicated team staff will be at your service to make your stay at our hostel as pleasant and comfortable as possible. All of our valued customers receive the following complementary Services: - Daily housekeeping service - Complimentary of drinking water, tea and coffe anytime at the kitchen. - Free water refill - Free City and temple maps - Free WiFi in all rooms  View House Rules  ",2.5,7.3,Hostel,9.0,Soni's Backpackers House,US$6.61,8.3,Fabulous,157,8.7,"Free Breakfast, Free City Maps, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Bicycle Parking, Ceiling Fan, Hot Showers, Outdoor Terrace, Parking, Reading Light, Security Lockers, Airport Transfers, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Reception (limited hours), Shuttle Bus, Tours/Travel Desk, Tea & Coffee Making Facilities",9.3,8.7
,Canggu,,Indonesia,"Super short walk to Canggu's main surf spot, Pererenan Beach, with 5 different surf points. Well recommended for surfers, beach-loving families, and for those who are tired of the hustling bustling Kuta. We have different types of accommodation: Dorm room at eHomestay Wood Hut of 6 beds with unique airy teak wood and bamboo with a reed thatching roof. The Bungalow at eHomestay Wood Hut is an antique Javanese air-conditioned wooden bungalow with a double bed, TV, and ensuite bathroom. Simple accommodation where you can experience blending with local people and our culture, get insider tips on places and swells, and exchange recommendations between fellow travelers. Your stay includes free WIFI, hot shower, cable TV, and a small library of books and DVDs. Airport transfers are available at an additional charge.  View House Rules  ",2.2,,Bed and Breakfast,,Ehomestay Canggu,US$6.61,,No Rating,8,,"Free Breakfast, Free Parking, BBQ, Bicycle Parking, Cable TV, Ceiling Fan, Outdoor Terrace, Parking, Self-Catering Facilities, Towels Not Included, Airport Transfers, Housekeeping, Internet Access, Laundry Facilities, Luggage Storage, Tea & Coffee Making Facilities, DVD's",,
9.3,Canggu,6.7,Indonesia,"Angels Boutique Hostel has a restaurant, outdoor swimming pool, a bar and shared lounge in Canggu. Featuring a garden, the hostel is close to several noted attractions, around an 11-minute walk from Batu Bolong Beach, 1 km from Nelayan Beach and a 12-minute walk from Berawa Beach. The hostel has garden views, a terrace and a 24-hour front desk. A continental breakfast is available each morning at the hostel. Vue Beach Club is 2.9 km from Angels Boutique Hostel, while La Laguna Bali is 3.4 km from the property. The nearest airport is Ngurah Rai International, 17.7 km from the accommodation, and the property offers a paid airport shuttle service. Terms and Conditions: Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 23:00 . Check out before 12:00 . Payment upon arrival by cash. Taxes included. Breakfast not included. No curfew. We do not accept customers younger than 17 years of age. Reception working period/time 24 HOURS NO smoking in Room, but have smoking area  View House Rules  ",1.6,8.0,Hostel,8.0,Angels Boutique Hostel,US$6.61,8.1,Fabulous,3,8.0,"Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Hot Showers, Key Card Access, Outdoor Swimming Pool, Outdoor Terrace, Parking, Swimming Pool, 24 Hour Reception, Express check-in / out, Restaurant, Wi-Fi",8.0,8.7
,Canggu,,Indonesia,"Ideal stay option for Solo and Business Travellers. Facilities available in RedDoorz Hostel @ Raya Canggu  are; Desk, Water Heater, Non-Smoking Rooms, Luggage Storage, Parking Area, Room Service, Swimming Pool, and 24 Hour Front Desk. Popular Leisure, Shopping and Entertainment experiences near the hostel are; Batur Temple (1,7 km), Taman Segara Water Park (1,3 km), Batu Bolong Beach (3,8 km), Berawa Beach 5,7 km, Pura Kayangan Babakan (400 m), Canggu Avenue (1,3 km), Pepito Market (1,4), and  Mini Mart Canggu Nyanyi (1,4 km). Terms and Conditions: Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 23:00 . Check out before 12:00 . Payment upon arrival by cash, credit cards. Taxes included. Breakfast not included. No curfew. We do not accept customers younger than 13 years old . Non smoking. We will make Pre-authorization Charge for the first night to Secure the booking Reception working period/time24 Hrs  View House Rules  ",1.6,,Hostel,,RedDoorz Hostel @ Raya Canggu,US$4.29,,No Rating,0,,"Free Internet Access, Free WiFi, Air Conditioning, Breakfast Not Included, Internet Access, Wi-Fi",,
,Canggu,,Indonesia,"Here you can find the living space that's ideal for couples, backpackers or family and still being close to the lively south part of Bali. Gusti Studio Canggu is kind independent. The room equipped with modern facilities where you will get your own room that includes fully furnished such as private bathroom, LCD TV, AC, Hot and cold water, amenities, wardrobe and all room with the same type are equipped with the same thing. Besides that, you could swim at our sharring swimming pool. The property was built in 2016, it's very new and comfortable. You can enjoy all the space and park your car or scooter safely. Free wifi is accessible throughout the property. Offering the private terrace or balcony. Freshly laundered linen and towels are provided. The property located in Canggu area where is perfect to stay for you who have active for Bussiness or Holiday. We are Balinese are very used to hosting and always looking for every guest that will come. We will glad welcoming you to our property. Terms and Conditions: Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 23:00 . Check out before 12:00 . Payment upon arrival by cash, credit cards, debit cards. Taxes included. Breakfast not included. No curfew. Child friendly. Non smoking. We will make Pre-authorization Charge for the first night to Secure the booking  View House Rules  ",4.9,,Bed and Breakfast,,Gusti Studio Canggu,US$7.00,,No Rating,0,,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Bicycle Parking, Breakfast Not Included, Cable TV, Children's Play Area, Dryer, Fridge/Freezer, Hair Dryers, Hot Showers, Iron / Ironing Board, Outdoor Swimming Pool, Outdoor Terrace, Parking, Swimming Pool, Washing Machine, 24 Hour Reception, 24 Hour Security, Airport Transfers, Express check-in / out, Housekeeping, Internet Access, Late check-out, Laundry Facilities, Luggage Storage, Towels for hire, Wake-up calls, Tea & Coffee Making Facilities, Wi-Fi",,
,Canggu,,Indonesia,"Just 200 meters from Canggu Beach, Surfer Paradise Villas offers private bungalows with free Wi-Fi access. Overlooking the ocean, it provides an outdoor pool and a business center. Surf lessons can be arranged at an additional charge, while bicycles are available free for guests' use. Bungalows are affordable, comfortable with Air con, fans, hot water, fast Wi-Fi, in bar, DVD, and marble floors. All are serviced daily. DVD library available free of charge. Meals are provided onsite if required. Motorbike rental, tour desk and business Centre. Out of the crowds and great to relax in the quiet Balinese atmosphere, after your day surfing, sightseeing or shopping. Terms and conditions: Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 23:00 . Check out before 12:00 . Payment upon arrival by cash, credit cards. Taxes included. Breakfast included. No curfew. Child friendly. Non smoking. Reception working period/time24 hours We will make Pre-authorization Charge for the first night to Secure the booking  View House Rules  ",2.2,,Hotel,,Surfer Paradise Villas,US$11.65,,No Rating,0,,"Free Breakfast, Free Internet Access, Free Parking, Free WiFi, Towels Included, Air Conditioning, Fridge/Freezer, Hot Showers, Outdoor Swimming Pool, Outdoor Terrace, Parking, Housekeeping, Internet Access, Late check-out, Reception (limited hours), Tours/Travel Desk, Minibar, DVD's, Wi-Fi",,
,Canggu,,Indonesia,"Located in Canggu, Bali, one of the famous places in Bali. Govardan Homestay gives you the best homestays you can find in the Canggu area. Do not forget to mention at an affordable price. Surrounded by fresh and lush gardens, pleasant and calm atmosphere, warm weather with nice breeze, a welcoming smile from the Balinese and just minutes to the beach, making Govardan Homestay the best place for a vacation, family vacation or surfing trip . Our spacious rooms with private bathrooms and showers are perfectly designed for you. We will not be left behind to tell you that the food we serve is vegetarian. Terms and Conditions: Cancellation policy: 3 days before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 14:00 to 22:00 . Check out before 12:00 . Payment upon arrival by cash. Taxes included. Breakfast not included. No curfew. NO smoking in Room, but have smoking area Reception working period/time: There is no front desk at this property. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. We will make Pre-authorization Charge for the first night to Secure the booking  View House Rules  ",2.2,,Bed and Breakfast,,Govardan Homestay,US$18.31,,,0,,"Free Internet Access, Free Parking, Free WiFi, Linen Included, Towels Included, Air Conditioning, Cable TV, Fridge/Freezer, Hot Showers, Outdoor Swimming Pool, Outdoor Terrace, Parking, Safe Deposit Box, Swimming Pool, Airport Transfers, Housekeeping, Luggage Storage, Reception (limited hours), Bar, Wi-Fi",,
7.3,Canggu,6.0,Indonesia,"Buki Hostel Canggu is a place to stay for backpakers budget with a villa atmosphere. There are six bedrooms and two swimming pools. Each room consists of one bathroom, six beds, and six lockers. All rooms are on the second floor so you are comfortable to rest. On the first floor there are two swimming pools, one bar and many spot to relax. Buki Hostel Canggu provides Wifi, cable TV, towel, blanket, self-contained kitchen, multiple common area, airport transfer and motorbike hire on arrival. ***Property Policies*** Cancellation policy: 1 day before arrival. In case of a late cancellation or No Show, you will be charged the first night of your stay. Check in from 13:00 to 23:00. Check out before 12:00 noon. Payment upon arrival by cash, credit cards, but extra charge for credit card service fee. Taxes included. Breakfast not included. No curfew. Non smoking in the room but have smoking area. Reception Working Time: 08:00~17:00.  View House Rules  ",1.8,6.0,Hostel,7.3,Buki Hostel Canggu,US$4.70,6.5,Good,14,6.0,"Free Parking, Free WiFi, Air Conditioning, Parking, Security Lockers, Swimming Pool, Wheelchair Friendly, 24 Hour Reception, 24 Hour Security, Housekeeping, Bar, Tea & Coffee Making Facilities, DVD's, Wi-Fi",6.7,6.0
